date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:34	52151/52151	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2014:01:35%20GMT	http://visiovista.com/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/index.html	(from )
21:08:36	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2010%20Apr%202019%2015:07:49%20GMT	http://visiovista.com/robots.txt		(from )
21:08:37	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2010%20Apr%202019%2015:07:52%20GMT	http://visiovista.com/xmlrpc.php	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/xmlrpc.php	(from http://visiovista.com/)
21:08:38	1640/1640	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2009:46:50%20GMT	http://visiovista.com/wp-content/plugins/testimonial-add/css/custom_style.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/testimonial-add/css/custom_stylea721.css	(from http://visiovista.com/)
21:08:38	1705/1705	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2009:46:50%20GMT	http://visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.carousel.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.carousela721.css	(from http://visiovista.com/)
21:08:39	1988/1988	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2009:46:50%20GMT	http://visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.theme.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.themea721.css	(from http://visiovista.com/)
21:08:39	4476/4476	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2009:46:50%20GMT	http://visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.transitions.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.transitionsa721.css	(from http://visiovista.com/)
21:08:40	1606/1606	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.7	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/contact-form-7/includes/css/styles4906.css	(from http://visiovista.com/)
21:08:40	1133/1133	---M--	200	added ('OK')	text/css	date:Tue,%2002%20May%202017%2013:24:21%20GMT	http://visiovista.com/wp-content/plugins/google-captcha/css/gglcptch.css?ver=1.29	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/google-captcha/css/gglcptchfbd4.css	(from http://visiovista.com/)
21:08:41	17219/17219	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2008:42:20%20GMT	http://visiovista.com/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.5.0	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-icons/assets/css/social-icons91ce.css	(from http://visiovista.com/)
